epoch,acc,loss,val_acc,val_loss
0,0.174861111111,2.72080588023,0.17,2.64545267105
1,0.195833333333,2.60433686256,0.23,2.51838555336
2,0.235416666667,2.45440988541,0.24125,2.33850641251
3,0.271527777778,2.31646960364,0.21125,2.38570530891
4,0.296666666667,2.20253729926,0.34375,2.11160383701
5,0.328055555556,2.08623765734,0.33625,2.05268574715
6,0.349722222222,2.00020847427,0.3975,1.90989321232
7,0.367222222222,1.92767964363,0.3925,1.82345062256
8,0.384583333333,1.87098384857,0.425,1.80607945442
9,0.404722222222,1.81824915356,0.43375,1.71452164173
10,0.414444444444,1.76841113408,0.43625,1.73800198078
11,0.430416666667,1.7147259797,0.4525,1.67513032913
12,0.444444444444,1.67485907237,0.4525,1.6822041893
13,0.459166666667,1.62804823769,0.41625,1.81323609352
14,0.467916666667,1.60163573477,0.44125,1.70922826767
15,0.477361111111,1.55945095486,0.4775,1.58080929279
16,0.491666666667,1.52717358589,0.51125,1.50315571308
17,0.501388888889,1.49535287221,0.4075,1.88551334381
18,0.507083333333,1.49147239049,0.5225,1.50790272713
19,0.520277777778,1.44797951592,0.495,1.49107631683
